Task;Type;Difficulty;Comment Contribution
Task1;CM;3;4
Task2;CM;2;2
Task3;CM;5;5
Task4;CM;4;5
Task5;CM;5;5
Task6;CM;5;2
Task7;CP;2;4
Task8;CP;1;4
Task9;CP;2;4
Task10;CP;3;4
Task11;CP;4;1
Task12;CP;1;4
