Task;Type;Difficulty;Comment Contribution
Task1;CM;1;4
Task2;CM;3;4
Task3;CM;3;3
Task4;CM;4;3
Task5;CM;5;2
Task6;CM;4;4
Task7;CP;3;3
Task8;CP;2;4
Task9;CP;2;3
Task10;CP;1;4
Task11;CP;4;2
Task12;CP;1;4
