Task,Type,Difficulty,ParticipantID
Task1,CP,3,625d844e-747c-410e-a5d3-ed058832d3bc
Task2,CP,2,625d844e-747c-410e-a5d3-ed058832d3bc
Task3,CP,3,625d844e-747c-410e-a5d3-ed058832d3bc
Task4,CP,3,625d844e-747c-410e-a5d3-ed058832d3bc
Task5,CP,3,625d844e-747c-410e-a5d3-ed058832d3bc
Task6,CP,3,625d844e-747c-410e-a5d3-ed058832d3bc
Task7,CM,4,625d844e-747c-410e-a5d3-ed058832d3bc
Task8,CM,3,625d844e-747c-410e-a5d3-ed058832d3bc
Task9,CM,4,625d844e-747c-410e-a5d3-ed058832d3bc
Task10,CM,2,625d844e-747c-410e-a5d3-ed058832d3bc
Task11,CM,5,625d844e-747c-410e-a5d3-ed058832d3bc
Task12,CM,1,625d844e-747c-410e-a5d3-ed058832d3bc
