Task,Type,Difficulty,Comment Contribution
Task1,CM,1,2
Task2,CM,1,3
Task3,CM,1,2
Task4,CM,4,5
Task5,CM,1,3
Task6,CM,4,1
Task7,CP,2,4
Task8,CP,3,3
Task9,CP,1,3
Task10,CP,1,5
Task11,CP,1,2
Task12,CP,1,5
