Task;Type;Difficulty;Comment Contribution
Task1;CM;4;5
Task2;CM;1;5
Task3;CM;2;3
Task4;CM;2;5
Task5;CM;5;5
Task6;CM;4;5
Task7;CP;1;2
Task8;CP;1;3
Task9;CP;1;5
Task10;CP;1;4
Task11;CP;5;2
Task12;CP;1;2
