Task;Type;Difficulty;Comment Contribution
Task1;CM;3;2
Task2;CM;3;3
Task3;CM;2;4
Task4;CM;2;3
Task5;CM;4;2
Task6;CM;5;2
Task7;CP;4;3
Task8;CP;3;3
Task9;CP;1;3
Task10;CP;1;3
Task11;CP;5;3
Task12;CP;1;2
