Task,Type,Difficulty,Comment Contribution
Task1,CP,1,5
Task2,CP,5,3
Task3,CP,2,4
Task4,CP,4,1
Task5,CP,5,2
Task6,CP,3,2
Task7,CM,2,1
Task8,CM,2,1
Task9,CM,5,5
Task10,CM,1,5
Task11,CM,4,1
Task12,CM,1,5
