Task,Task_Number,Task_Type,Answer_Out,Solution,Correct,Time,TimeOut,Correct_Only_Time,SubjectID
Task1CP,1,CP,4,5,False,209.898,False,0.0,5e4ae544-c0e0-434a-b361-f1bb9399dcb0
Task2CP,2,CP,2,"[9, 1]",False,251.206,False,0.0,5e4ae544-c0e0-434a-b361-f1bb9399dcb0
Task3CP,3,CP,4,5,False,305.422,True,0.0,5e4ae544-c0e0-434a-b361-f1bb9399dcb0
Task4CP,4,CP,0,5,False,182.439,False,0.0,5e4ae544-c0e0-434a-b361-f1bb9399dcb0
Task5CP,5,CP,1,3,False,285.529,False,0.0,5e4ae544-c0e0-434a-b361-f1bb9399dcb0
Task6CP,6,CP,3,4,False,281.206,False,0.0,5e4ae544-c0e0-434a-b361-f1bb9399dcb0
Task7CM,7,CM,1,1024,False,80.14,False,0.0,5e4ae544-c0e0-434a-b361-f1bb9399dcb0
Task8CM,8,CM,13,13,True,239.849,False,239.849,5e4ae544-c0e0-434a-b361-f1bb9399dcb0
Task9CM,9,CM,TRUE,"[2, 3, 5, 7, 11, 13, 17]",False,260.081,False,0.0,5e4ae544-c0e0-434a-b361-f1bb9399dcb0
Task10CM,10,CM,7,7,True,172.037,False,172.037,5e4ae544-c0e0-434a-b361-f1bb9399dcb0
Task11CM,11,CM,2,6,False,317.341,False,0.0,5e4ae544-c0e0-434a-b361-f1bb9399dcb0
Task12CM,12,CM,TRUE,TRUE,True,101.713,False,101.713,5e4ae544-c0e0-434a-b361-f1bb9399dcb0
