Task;Type;Difficulty;Comment Contribution
Task1;CP;2;1
Task2;CP;5;5
Task3;CP;3;2
Task4;CP;4;4
Task5;CP;3;4
Task6;CP;4;4
Task7;CM;1;1
Task8;CM;1;1
Task9;CM;3;4
Task10;CM;1;1
Task11;CM;2;2
Task12;CM;1;1
