TrialId	SnippetName	ShapeName	ShapeType	ShapeNumPts	ShapePts
2	Task7CP	8	Task7CPL14	Rectangle	4	P0:(623;678) P1:(646;678) P2:(646;717) P3:(623;717)
2	Task7CP	9	Task7CPL15	Rectangle	4	P0:(623;728) P1:(841;728) P2:(841;768) P3:(623;768)
2	Task7CP	9	Task7CPC16	Rectangle	4	P0:(1133;728) P1:(1531;728) P2:(1531;764) P3:(1133;764)
2	Task7CP	10	Task7CPL17	Rectangle	4	P0:(563;777) P1:(586;777) P2:(586;816) P3:(563;816)
2	Task7CP	11	Task7CPL18	Rectangle	4	P0:(563;877) P1:(1171;877) P2:(1171;917) P3:(563;917)
2	Task7CP	12	Task7CPL19	Rectangle	4	P0:(623;926) P1:(871;926) P2:(871;966) P3:(623;966)
2	Task7CP	13	Task7CPL20	Rectangle	4	P0:(623;976) P1:(886;976) P2:(886;1016) P3:(623;1016)
2	Task7CP	14	Task7CPL21	Rectangle	4	P0:(623;1025) P1:(1201;1025) P2:(1201;1065) P3:(623;1065)
2	Task7CP	15	Task7CPL22	Rectangle	4	P0:(623;1075) P1:(1036;1075) P2:(1036;1115) P3:(623;1115)
2	Task7CP	16	Task7CPL23	Rectangle	4	P0:(563;1125) P1:(586;1125) P2:(586;1164) P3:(563;1164)
3	Task12CP	0	Task12CPL00	Rectangle	4	P0:(556;305) P1:(1494;305) P2:(1494;345) P3:(556;345)
3	Task12CP	1	Task12CPL01	Rectangle	4	P0:(616;355) P1:(1239;355) P2:(1239;395) P3:(616;395)
3	Task12CP	1	Task12CPC02	Rectangle	4	P0:(1276;355) P1:(1959;355) P2:(1959;395) P3:(1276;395)
3	Task12CP	2	Task12CPL03	Rectangle	4	P0:(676;405) P1:(879;405) P2:(879;445) P3:(676;445)
3	Task12CP	3	Task12CPL04	Rectangle	4	P0:(616;454) P1:(639;454) P2:(639;493) P3:(616;493)
3	Task12CP	4	Task12CPL05	Rectangle	4	P0:(616;504) P1:(1239;504) P2:(1239;544) P3:(616;544)
3	Task12CP	4	Task12CPC06	Rectangle	4	P0:(1261;504) P1:(1989;504) P2:(1989;543) P3:(1261;543)
3	Task12CP	5	Task12CPL07	Rectangle	4	P0:(616;553) P1:(1239;553) P2:(1239;593) P3:(616;593)
