TrialId	SnippetName	ShapeName	ShapeType	ShapeNumPts	ShapePts
2	Task11CM	15	Task11CML15	Rectangle	4	P0:(728;1027) P1:(1066;1027) P2:(1066;1067) P3:(728;1067)
2	Task11CM	16	Task11CML16	Rectangle	4	P0:(728;1077) P1:(1171;1077) P2:(1171;1117) P3:(728;1117)
2	Task11CM	17	Task11CML17	Rectangle	4	P0:(728;1126) P1:(1141;1126) P2:(1141;1166) P3:(728;1166)
2	Task11CM	18	Task11CML18	Rectangle	4	P0:(668;1176) P1:(691;1176) P2:(691;1215) P3:(668;1215)
3	Task5CP	0	Task5CPL00	Rectangle	4	P0:(421;185) P1:(1284;185) P2:(1284;225) P3:(421;225)
3	Task5CP	1	Task5CPL01	Rectangle	4	P0:(481;235) P1:(849;235) P2:(849;275) P3:(481;275)
3	Task5CP	1	Task5CPC02	Rectangle	4	P0:(1141;235) P1:(1584;235) P2:(1584;274) P3:(1141;274)
3	Task5CP	2	Task5CPL03	Rectangle	4	P0:(481;284) P1:(849;284) P2:(849;324) P3:(481;324)
3	Task5CP	2	Task5CPC04	Rectangle	4	P0:(1141;284) P1:(1599;284) P2:(1599;323) P3:(1141;323)
3	Task5CP	3	Task5CPL05	Rectangle	4	P0:(481;334) P1:(1014;334) P2:(1014;374) P3:(481;374)
3	Task5CP	3	Task5CPC06	Rectangle	4	P0:(1141;334) P1:(2094;334) P2:(2094;373) P3:(1141;373)
3	Task5CP	4	Task5CPL07	Rectangle	4	P0:(481;384) P1:(939;384) P2:(939;424) P3:(481;424)
3	Task5CP	4	Task5CPC08	Rectangle	4	P0:(1141;384) P1:(1899;384) P2:(1899;423) P3:(1141;423)
3	Task5CP	5	Task5CPL09	Rectangle	4	P0:(541;433) P1:(999;433) P2:(999;473) P3:(541;473)
3	Task5CP	5	Task5CPC10	Rectangle	4	P0:(1141;433) P1:(1914;433) P2:(1914;472) P3:(1141;472)
3	Task5CP	6	Task5CPL11	Rectangle	4	P0:(601;483) P1:(1374;483) P2:(1374;523) P3:(601;523)
3	Task5CP	6	Task5CPC12	Rectangle	4	P0:(1411;483) P1:(1809;483) P2:(1809;519) P3:(1411;519)
3	Task5CP	7	Task5CPL13	Rectangle	4	P0:(661;533) P1:(1149;533) P2:(1149;573) P3:(661;573)
3	Task5CP	7	Task5CPC14	Rectangle	4	P0:(1411;533) P1:(2139;533) P2:(2139;572) P3:(1411;572)
3	Task5CP	8	Task5CPL15	Rectangle	4	P0:(601;582) P1:(729;582) P2:(729;621) P3:(601;621)
3	Task5CP	9	Task5CPL16	Rectangle	4	P0:(661;632) P1:(1389;632) P2:(1389;672) P3:(661;672)
3	Task5CP	9	Task5CPC17	Rectangle	4	P0:(1411;632) P1:(2109;632) P2:(2109;672) P3:(1411;672)
3	Task5CP	10	Task5CPL18	Rectangle	4	P0:(601;681) P1:(624;681) P2:(624;720) P3:(601;720)
3	Task5CP	10	Task5CPC19	Rectangle	4	P0:(1411;681) P1:(2124;681) P2:(2124;720) P3:(1411;720)
3	Task5CP	11	Task5CPL20	Rectangle	4	P0:(541;731) P1:(564;731) P2:(564;770) P3:(541;770)
3	Task5CP	12	Task5CPL21	Rectangle	4	P0:(481;781) P1:(504;781) P2:(504;820) P3:(481;820)
3	Task5CP	13	Task5CPL22	Rectangle	4	P0:(481;830) P1:(729;830) P2:(729;870) P3:(481;870)
3	Task5CP	13	Task5CPC23	Rectangle	4	P0:(1126;830) P1:(1554;830) P2:(1554;869) P3:(1126;869)
3	Task5CP	14	Task5CPL24	Rectangle	4	P0:(421;880) P1:(444;880) P2:(444;919) P3:(421;919)
3	Task5CP	15	Task5CPL25	Rectangle	4	P0:(421;979) P1:(1029;979) P2:(1029;1019) P3:(421;1019)
3	Task5CP	16	Task5CPL26	Rectangle	4	P0:(481;1029) P1:(849;1029) P2:(849;1069) P3:(481;1069)
3	Task5CP	17	Task5CPL27	Rectangle	4	P0:(481;1078) P1:(819;1078) P2:(819;1118) P3:(481;1118)
3	Task5CP	18	Task5CPL28	Rectangle	4	P0:(481;1128) P1:(1044;1128) P2:(1044;1168) P3:(481;1168)
3	Task5CP	19	Task5CPL29	Rectangle	4	P0:(481;1177) P1:(894;1177) P2:(894;1217) P3:(481;1217)
3	Task5CP	20	Task5CPL30	Rectangle	4	P0:(421;1227) P1:(444;1227) P2:(444;1266) P3:(421;1266)
4	Task1CP	0	Task1CPL00	Rectangle	4	P0:(421;257) P1:(1029;257) P2:(1029;297) P3:(421;297)
4	Task1CP	1	Task1CPL01	Rectangle	4	P0:(481;307) P1:(684;307) P2:(684;347) P3:(481;347)
