Task,Type,Difficulty,Comment Contribution
Task1,CP,2,2
Task2,CP,3,3
Task3,CP,4,4
Task4,CP,3,3
Task5,CP,4,4
Task6,CP,3,3
Task7,CM,3,4
Task8,CM,2,4
Task9,CM,4,3
Task10,CM,3,2
Task11,CM,3,4
Task12,CM,2,1
