Task,Type,Difficulty,ParticipantID
Task1,CP,2,cb039d67-cebf-4750-8d66-55e7a5ca9e1b
Task2,CP,3,cb039d67-cebf-4750-8d66-55e7a5ca9e1b
Task3,CP,4,cb039d67-cebf-4750-8d66-55e7a5ca9e1b
Task4,CP,3,cb039d67-cebf-4750-8d66-55e7a5ca9e1b
Task5,CP,4,cb039d67-cebf-4750-8d66-55e7a5ca9e1b
Task6,CP,3,cb039d67-cebf-4750-8d66-55e7a5ca9e1b
Task7,CM,3,cb039d67-cebf-4750-8d66-55e7a5ca9e1b
Task8,CM,2,cb039d67-cebf-4750-8d66-55e7a5ca9e1b
Task9,CM,4,cb039d67-cebf-4750-8d66-55e7a5ca9e1b
Task10,CM,3,cb039d67-cebf-4750-8d66-55e7a5ca9e1b
Task11,CM,3,cb039d67-cebf-4750-8d66-55e7a5ca9e1b
Task12,CM,2,cb039d67-cebf-4750-8d66-55e7a5ca9e1b
