Task,Type,Difficulty,Comment Contribution
Task1,CP,2,1
Task2,CP,2,4
Task3,CP,1,5
Task4,CP,3,4
Task5,CP,4,3
Task6,CP,4,5
Task7,CM,2,2
Task8,CM,2,3
Task9,CM,2,4
Task10,CM,2,2
Task11,CM,3,4
Task12,CM,1,1
