Task,Type,Difficulty,Comment Contribution
Task1,CM,4,1
Task2,CM,2,2
Task3,CM,5,5
Task4,CM,3,3
Task5,CM,3,5
Task6,CM,3,4
Task7,CP,3,1
Task8,CP,1,3
Task9,CP,1,4
Task10,CP,1,5
Task11,CP,2,4
Task12,CP,1,3
