Task,Type,Difficulty,Comment Contribution
Task1,CP,4,3
Task2,CP,3,4
Task3,CP,4,1
Task4,CP,3,4
Task5,CP,5,4
Task6,CP,4,4
Task7,CM,2,5
Task8,CM,1,2
Task9,CM,3,4
Task10,CM,1,4
Task11,CM,4,4
Task12,CM,1,1
