Task;Type;Difficulty;Comment Contribution
Task1;CP;5;2
Task2;CP;4;3
Task3;CP;3;2
Task4;CP;4;3
Task5;CP;5;2
Task6;CP;5;4
Task7;CM;2;1
Task8;CM;1;1
Task9;CM;2;4
Task10;CM;3;3
Task11;CM;2;5
Task12;CM;4;5
