Participant,Task,Type,AllFixations_Count,AllFixations_Duration,AoiFixations_Count,AoiFixations_Duration,AoiHits_CountRatio,AoiHits_DurationRatio,CodeFixations_Count,CodeFixations_Duration,CodeHits_CountRatio,CodeHits_DurationRatio,CommentFixations_Count,CommentFixations_Duration,CommentHits_CountRatio,CommentHits_DurationRatio
dac593bd,Task11CP,CP,845,245.34,551,141.92,0.65,0.58,210,53.03,0.38,0.37,341,88.89,0.62,0.63
b1c5e27d,Task11CP,CP,986,192.77,840,165.82,0.85,0.86,511,107.13,0.61,0.65,329,58.69,0.39,0.35
967a04d0,Task11CP,CP,502,238.72,396,166.81,0.79,0.7,247,112.45,0.62,0.67,149,54.36,0.38,0.33
66b337a9,Task11CP,CP,816,224.47,679,201.79,0.83,0.9,437,125.97,0.64,0.62,242,75.82,0.36,0.38
45c939e2,Task11CP,CP,339,62.21,219,52.92,0.65,0.85,119,37.39,0.54,0.71,100,15.53,0.46,0.29
ba88bf04,Task11CP,CP,135,50.27,102,45.74,0.76,0.91,59,33.71,0.58,0.74,43,12.03,0.42,0.26
782b7c64,Task11CP,CP,793,242.16,602,194.65,0.76,0.8,380,137.38,0.63,0.71,222,57.27,0.37,0.29
4d750b0b,Task11CP,CP,136,27.73,116,24.8,0.85,0.89,54,15.36,0.47,0.62,62,9.44,0.53,0.38
1ce913d5,Task12CM,CM,191,31.81,151,27.63,0.79,0.87,151,27.63,1.0,1.0,0,0.0,0.0,0.0
9679a6e6,Task12CM,CM,144,35.78,86,21.36,0.6,0.6,86,21.36,1.0,1.0,0,0.0,0.0,0.0
625d844e,Task12CM,CM,193,50.18,120,21.9,0.62,0.44,120,21.9,1.0,1.0,0,0.0,0.0,0.0
1de0f518,Task12CM,CM,190,59.47,114,35.85,0.6,0.6,114,35.85,1.0,1.0,0,0.0,0.0,0.0
1d1071e4,Task12CM,CM,346,71.59,241,50.97,0.7,0.71,241,50.97,1.0,1.0,0,0.0,0.0,0.0
cb039d67,Task12CM,CM,20,29.75,13,7.33,0.65,0.25,13,7.33,1.0,1.0,0,0.0,0.0,0.0
5e4ae544,Task12CM,CM,189,86.25,98,43.09,0.52,0.5,98,43.09,1.0,1.0,0,0.0,0.0,0.0
dfab1ede,Task12CM,CM,137,33.34,85,19.76,0.62,0.59,85,19.76,1.0,1.0,0,0.0,0.0,0.0
9a43cae5,Task12CM,CM,157,42.22,100,23.47,0.64,0.56,100,23.47,1.0,1.0,0,0.0,0.0,0.0
66310afd,Task12CM,CM,160,54.0,113,35.34,0.71,0.65,113,35.34,1.0,1.0,0,0.0,0.0,0.0
615db7bf,Task12CP,CP,408,115.95,255,56.16,0.62,0.48,214,51.13,0.84,0.91,41,5.04,0.16,0.09
f9ec2bc7,Task12CP,CP,139,21.67,93,15.02,0.67,0.69,89,14.93,0.96,0.99,4,0.1,0.04,0.01
dac593bd,Task12CP,CP,271,74.96,144,29.43,0.53,0.39,120,25.82,0.83,0.88,24,3.61,0.17,0.12
b1c5e27d,Task12CP,CP,349,79.36,245,53.87,0.7,0.68,219,49.61,0.89,0.92,26,4.26,0.11,0.08
967a04d0,Task12CP,CP,267,96.76,176,71.38,0.66,0.74,145,63.88,0.82,0.89,31,7.5,0.18,0.11
66b337a9,Task12CP,CP,144,49.98,70,15.72,0.49,0.31,66,15.24,0.94,0.97,4,0.48,0.06,0.03
45c939e2,Task12CP,CP,74,16.01,42,11.69,0.57,0.73,38,11.12,0.9,0.95,4,0.57,0.1,0.05
ba88bf04,Task12CP,CP,96,30.37,23,11.26,0.24,0.37,20,10.47,0.87,0.93,3,0.79,0.13,0.07
782b7c64,Task12CP,CP,161,47.57,81,16.49,0.5,0.35,67,15.38,0.83,0.93,14,1.11,0.17,0.07
4d750b0b,Task12CP,CP,92,14.06,41,5.06,0.45,0.36,36,4.08,0.88,0.81,5,0.98,0.12,0.19
