Task,Type,Difficulty,ParticipantID
Task1,CM,2,4d750b0b-717b-4190-a74f-e8c6189a082f
Task2,CM,3,4d750b0b-717b-4190-a74f-e8c6189a082f
Task3,CM,3,4d750b0b-717b-4190-a74f-e8c6189a082f
Task4,CM,3,4d750b0b-717b-4190-a74f-e8c6189a082f
Task5,CM,5,4d750b0b-717b-4190-a74f-e8c6189a082f
Task6,CM,4,4d750b0b-717b-4190-a74f-e8c6189a082f
Task7,CP,1,4d750b0b-717b-4190-a74f-e8c6189a082f
Task8,CP,1,4d750b0b-717b-4190-a74f-e8c6189a082f
Task9,CP,1,4d750b0b-717b-4190-a74f-e8c6189a082f
Task10,CP,2,4d750b0b-717b-4190-a74f-e8c6189a082f
Task11,CP,4,4d750b0b-717b-4190-a74f-e8c6189a082f
Task12,CP,1,4d750b0b-717b-4190-a74f-e8c6189a082f
