Task,Type,Difficulty,Comment Contribution
Task1,CM,2,4
Task2,CM,3,2
Task3,CM,3,2
Task4,CM,3,5
Task5,CM,5,4
Task6,CM,4,5
Task7,CP,1,5
Task8,CP,1,2
Task9,CP,1,4
Task10,CP,2,5
Task11,CP,4,3
Task12,CP,1,2
