Task;Type;Difficulty;Comment Contribution
Task1;CP;1;5
Task2;CP;2;5
Task3;CP;3;4
Task4;CP;2;4
Task5;CP;3;4
Task6;CP;2;4
Task7;CM;3;2
Task8;CM;3;2
Task9;CM;3;3
Task10;CM;1;3
Task11;CM;5;5
Task12;CM;1;2
