Task;Type;Difficulty;Comment Contribution
Task1;CP;2;4
Task2;CP;3;5
Task3;CP;4;3
Task4;CP;4;4
Task5;CP;5;2
Task6;CP;3;4
Task7;CM;2;4
Task8;CM;1;5
Task9;CM;2;5
Task10;CM;2;5
Task11;CM;2;5
Task12;CM;1;5
