Task;Type;Difficulty;Comment Contribution
Task1;CP;3;3
Task2;CP;2;2
Task3;CP;3;4
Task4;CP;3;4
Task5;CP;3;3
Task6;CP;3;4
Task7;CM;4;3
Task8;CM;3;2
Task9;CM;4;4
Task10;CM;2;2
Task11;CM;5;5
Task12;CM;1;1
