Task;Type;Difficulty;Comment Contribution
Task1;CM;2;2
Task2;CM;2;5
Task3;CM;4;5
Task4;CM;4;4
Task5;CM;5;3
Task6;CM;4;2
Task7;CP;5;1
Task8;CP;2;3
Task9;CP;3;5
Task10;CP;1;4
Task11;CP;3;5
Task12;CP;1;1
